Cancel,Cancel
From,From
To,To
"Add Modifier","Add Modifier"
Modifier,Modifier
"Magento Field","Magento Field"
"Import File Field","Import File Field"
Action,Action
"-- Please Select --","-- Please Select --"
Search,Search
Download,Download
"Delete image","Delete image"
Upload,Upload
"Multi-Process Import","Multi-Process Import"
"Enable Multi-Process Import","Enable Multi-Process Import"
"The 'Multi-Process Import' feature needs the php extension 'pcntl' to be installed on the server. If you enable the feature and no performance boost happens, please ask your hoster/system administrator to check if the 'pcntl' extension installed.","The 'Multi-Process Import' feature needs the php extension 'pcntl' to be installed on the server. If you enable the feature and no performance boost happens, please ask your hoster/system administrator to check if the 'pcntl' extension installed."
"Number of Parallels Processes","Number of Parallels Processes"
"The more parallel processes are set, the faster is the import process, as well as the higher is the server load","The more parallel processes are set, the faster is the import process, as well as the higher is the server load"
"Local Directory","Local Directory"
"File Upload","File Upload"
CSV,CSV
XML,XML
"Import Settings","Import Settings"
"Select Entity","Select Entity"
